TEST CASE ID,MODULE/FEATURE,TEST NAME,PRE-CONDITION,TEST STEPS,TEST DATA,EXPECTED RESULT
TC_PT_CMT_001,Loader,[High][Positive] Loader load đúng post source từ Mongo (pantip_posts),"- Service Loader đang chạy
- MongoDB collection pantip_posts có sẵn ≥1 document hợp lệ với platform=14
- MySQL key PT_COMMENT_NO_COOKIE_CRAWLING_LOADER đã được cấu hình","1. Khởi động Loader service với env PT_COMMENT_NO_COOKIE_CRAWLING_LOADER_ENABLE=true
2. Quan sát log của Loader
3. Kiểm tra queue cl.pt.comments_no_cookie_crawling_sources trên RabbitMQ","MongoDB: { ""_id"": ""post_id_12345"", ""topic_id"": 12345, ""platform"": 14, ""link"": ""https://pantip.com/topic/12345"", ""comments_count"": 50 }","- Log: Loaded source: post_id_12345
- Queue cl.pt.comments_no_cookie_crawling_sources nhận message topic_id=12345
- Source bị lock trong Redis với key PTCommentNoCookieCrawlingLoader:12345"
TC_PT_CMT_002,Loader,[High][Positive] Loader lock source đúng key trong Redis,"- Loader đã load được source từ Mongo
- Redis đang hoạt động với config đúng","1. Loader load post source từ Mongo
2. Kiểm tra Redis sau khi Loader chạy
3. Dùng Redis CLI: GET PTCommentNoCookieCrawlingLoader:{post_id}","REDIS_HOST=192.168.1.103, REDIS_PORT=6393, REDIS_DB=1
Post ID test: topic_id=12345","- Key PTCommentNoCookieCrawlingLoader:12345 tồn tại trong Redis
- Value của key chứa thông tin source (lock flag)
- TTL của key > 0 (không phải permanent lock)"
TC_PT_CMT_003,Loader,[High][Positive] Loader push đúng format message vào crawling_sources queue,"- Source đã được load và lock thành công
- RabbitMQ queue cl.pt.comments_no_cookie_crawling_sources đã tồn tại","1. Chạy Loader
2. Consume 1 message từ queue cl.pt.comments_no_cookie_crawling_sources
3. Kiểm tra format message","MongoDB: { ""topic_id"": 12345, ""link"": ""https://pantip.com/topic/12345"", ""comments_count"": 50, ""platform"": 14 }","Message trong queue: { ""sources"": { ""topic_id"": 12345, ""link"": ""https://pantip.com/topic/12345"", ""platform"": 14 }, ""request"": { ... } }
- Không thiếu field bắt buộc (topic_id, link, platform)"
TC_PT_CMT_004,Loader,[Medium][Positive] Loader load được nhiều sources cùng lúc (batch),"- MongoDB có 10+ document Pantip post hợp lệ
- Loader service đang chạy","1. Đảm bảo MongoDB có 10 posts
2. Khởi động Loader
3. Đếm số message trong queue cl.pt.comments_no_cookie_crawling_sources
4. Kiểm tra log loader","MongoDB: 10 documents với topic_id từ 10001 đến 10010, tất cả platform=14","- 10 messages được đẩy vào queue
- Mỗi message tương ứng 1 topic_id duy nhất
- Không có duplicate message
- Log thể hiện đã load 10 sources"
TC_PT_CMT_005,Loader,[Medium][Negative] Loader gặp post source không hợp lệ (thiếu topic_id),"- MongoDB có document Pantip post nhưng thiếu field topic_id","1. Insert document không có topic_id vào pantip_posts
2. Khởi động Loader
3. Quan sát log","MongoDB: { ""_id"": ""invalid_post_1"", ""platform"": 14, ""link"": ""https://pantip.com/topic/"", ""comments_count"": 5 } (thiếu topic_id)","- Document lỗi KHÔNG được đẩy vào queue
- Log warning: Invalid source: missing topic_id for _id=invalid_post_1
- Loader tiếp tục xử lý các source hợp lệ khác, không crash"
TC_PT_CMT_006,Loader,[Medium][Negative] Loader không load source khi MongoDB không kết nối được,"- MongoDB service bị tắt hoặc sai config","1. Stop MongoDB hoặc thay đổi MONGO_HOST sai
2. Khởi động Loader
3. Quan sát log và hành vi","Config: MONGO_CONNECTION_DEFAULT_HOST=invalid-host, PORT=27017","- Loader log lỗi kết nối MongoDB
- Không có message nào được push vào queue
- Loader KHÔNG crash, retry sau khoảng thời gian hoặc alert"
TC_PT_CMT_007,Loader,[Low][Negative] Loader skip source đã bị lock trong Redis,"- Source topic_id=12345 đã bị lock trong Redis (đang được crawl bởi worker khác)","1. Manually set Redis key: SET PTCommentNoCookieCrawlingLoader:12345 ""locked"" EX 3600
2. Chạy Loader
3. Kiểm tra queue","Redis: PTCommentNoCookieCrawlingLoader:12345 = ""locked"" với TTL 3600s
MongoDB: document topic_id=12345 tồn tại","- Source 12345 KHÔNG được đẩy vào queue (đã lock)
- Các source khác không bị ảnh hưởng
- Log: Skipped locked source: 12345"
TC_PT_CMT_008,Loader,[Low][Edge] Loader xử lý khi MongoDB trả về 0 source (empty collection),"- pantip_posts collection rỗng hoặc không có document nào khớp filter","1. Đảm bảo collection pantip_posts rỗng
2. Chạy Loader
3. Quan sát log và queue","MongoDB collection pantip_posts: 0 documents","- Không có message nào được push vào queue
- Loader log: No sources to load
- Loader KHÔNG crash, thoát gracefully hoặc sleep/retry"
TC_PT_CMT_009,Builder,[High][Positive] Builder consume message từ crawling_sources và build đúng request,"- Queue cl.pt.comments_no_cookie_crawling_sources có ≥1 message hợp lệ
- Builder service đang chạy","1. Push 1 message test vào queue cl.pt.comments_no_cookie_crawling_sources
2. Khởi động Builder
3. Consume message từ queue cl.pt.comments_no_cookie_crawling_requests
4. Kiểm tra format request","Input: { ""sources"": { ""topic_id"": 12345, ""link"": ""https://pantip.com/topic/12345"", ""platform"": 14 } }","- Queue cl.pt.comments_no_cookie_crawling_requests nhận message
- Message có: { ""sources"": {...}, ""request"": { ""url"": ""https://pantip.com/api/..."", ""method"": ""GET"", ""headers"": {...} } }
- URL request build đúng format Pantip comment API"
TC_PT_CMT_010,Builder,[High][Positive] Builder consume từ next_pages queue và build request cho page tiếp theo,"- Queue cl.pt.comments_no_cookie_crawling_sources_next_pages có message với cursor next page","1. Push message next_page vào queue _next_pages
2. Builder consume message
3. Kiểm tra request được build","Input: { ""sources"": { ""topic_id"": 12345 }, ""paging"": { ""cursor"": ""44044300"", ""page"": 2 } }","- Builder build request với param cursor đúng
- Request URL: ...?next_id=44044300
- Message đẩy vào cl.pt.comments_no_cookie_crawling_requests"
